source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	louvain_group
GO:BP	GO:0036294	cellular response to decreased oxygen levels	0.03493137106209195	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus reflecting a decline in the level of oxygen."" [GOC:al]"	148	23	4	21010	0.17391304347826086	0.02702702702702703	query_1	['GO:0036293', 'GO:0071453']	1
GO:BP	GO:0070482	response to oxygen levels	0.04513663931024667	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus reflecting the presence, absence, or concentration of oxygen."" [GOC:BHF, GOC:mah]"	329	23	5	21010	0.21739130434782608	0.015197568389057751	query_1	['GO:0009628']	1
GO:BP	GO:0043523	regulation of neuron apoptotic process	0.04885159545809058	True	"""Any process that modulates the occurrence or rate of cell death by apoptotic process in neurons."" [GOC:go_curators, GOC:mtg_apoptosis]"	223	17	4	21010	0.23529411764705882	0.017937219730941704	query_1	['GO:0042981', 'GO:0051402']	1
GO:BP	GO:0048646	anatomical structure formation involved in morphogenesis	8.045093312802661e-08	True	"""The developmental process pertaining to the initial formation of an anatomical structure from unspecified parts. This process begins with the specific processes that contribute to the appearance of the discrete structure and ends when the structural rudiment is recognizable. An anatomical structure is any biological entity that occupies space and is distinguished from its surroundings. Anatomical structures can be macroscopic such as a carpel, or microscopic such as an acrosome."" [GOC:dph, GOC:jid, GOC:tb]"	1172	10	9	21010	0.9	0.007679180887372013	query_1	['GO:0009653', 'GO:0032502']	2
GO:BP	GO:0003206	cardiac chamber morphogenesis	1.8915218393528417e-07	True	"""The process in which a cardiac chamber is generated and organized. A cardiac chamber is an enclosed cavity within the heart."" [GOC:mtg_heart]"	125	14	6	21010	0.42857142857142855	0.048	query_1	['GO:0003007', 'GO:0003205', 'GO:0009653']	2
GO:BP	GO:0003205	cardiac chamber development	1.134409363443153e-06	True	"""The progression of a cardiac chamber over time, from its formation to the mature structure. A cardiac chamber is an enclosed cavity within the heart."" [GOC:mtg_heart]"	168	14	6	21010	0.42857142857142855	0.03571428571428571	query_1	['GO:0007507', 'GO:0048856']	2
GO:BP	GO:0009790	embryo development	1.7722657043989094e-06	True	"""The process whose specific outcome is the progression of an embryo from its formation until the end of its embryonic life stage. The end of the embryonic stage is organism-specific. For example, for mammals, the process would begin with zygote formation and end with birth. For insects, the process would begin at zygote formation and end with larval hatching. For plant zygotic embryos, this would be from zygote formation to the end of seed dormancy. For plant vegetative embryos, this would be from the initial determination of the cell or group of cells to form an embryo until the point when the embryo becomes independent of the parent plant."" [GOC:go_curators, GOC:isa_complete, GOC:mtg_sensu]"	1120	16	10	21010	0.625	0.008928571428571428	query_1	['GO:0007275']	2
GO:BP	GO:0048729	tissue morphogenesis	2.7714889632734696e-06	True	"""The process in which the anatomical structures of a tissue are generated and organized."" [GOC:dph, GOC:jid]"	633	14	8	21010	0.5714285714285714	0.01263823064770932	query_1	['GO:0009653', 'GO:0009888']	2
GO:BP	GO:0003279	cardiac septum development	1.002985236176472e-05	True	"""The progression of a cardiac septum over time, from its initial formation to the mature structure."" [GOC:mtg_heart]"	107	14	5	21010	0.35714285714285715	0.04672897196261682	query_1	['GO:0003205', 'GO:0048856']	2
GO:BP	GO:0003007	heart morphogenesis	1.597875284683255e-05	True	"""The developmental process in which the heart is generated and organized. The heart is a hollow, muscular organ, which, by contracting rhythmically, keeps up the circulation of the blood."" [GOC:dph, GOC:isa_complete]"	261	14	6	21010	0.42857142857142855	0.022988505747126436	query_1	['GO:0007507', 'GO:0009887']	2
GO:BP	GO:0043009	chordate embryonic development	1.6555668670688657e-05	True	"""The process whose specific outcome is the progression of the embryo over time, from zygote formation through a stage including a notochord and neural tube until birth or egg hatching."" [GOC:mtg_sensu]"	665	16	8	21010	0.5	0.012030075187969926	query_1	['GO:0009792']	2
GO:BP	GO:0009653	anatomical structure morphogenesis	1.842543959562486e-05	True	"""The process in which anatomical structures are generated and organized. Morphogenesis pertains to the creation of form."" [GOC:go_curators, ISBN:0521436125]"	2683	11	10	21010	0.9090909090909091	0.003727171077152441	query_1	['GO:0032502', 'GO:0048856']	2
GO:BP	GO:0003229	ventricular cardiac muscle tissue development	2.112002268052025e-05	True	"""The process whose specific outcome is the progression of ventricular cardiac muscle over time, from its formation to the mature structure."" [GOC:mtg_heart]"	56	29	5	21010	0.1724137931034483	0.08928571428571429	query_1	['GO:0048738']	2
GO:BP	GO:0009792	embryo development ending in birth or egg hatching	2.1345019261974526e-05	True	"""The process whose specific outcome is the progression of an embryo over time, from zygote formation until the end of the embryonic life stage. The end of the embryonic life stage is organism-specific and may be somewhat arbitrary; for mammals it is usually considered to be birth, for insects the hatching of the first instar larva from the eggshell."" [GOC:go_curators, GOC:isa_complete, GOC:mtg_sensu]"	687	16	8	21010	0.5	0.011644832605531296	query_1	['GO:0009790']	2
GO:BP	GO:0003231	cardiac ventricle development	2.381461674382176e-05	True	"""The process whose specific outcome is the progression of a cardiac ventricle over time, from its formation to the mature structure. A cardiac ventricle receives blood from a cardiac atrium and pumps it out of the heart."" [GOC:mtg_heart]"	127	14	5	21010	0.35714285714285715	0.03937007874015748	query_1	['GO:0003205']	2
GO:BP	GO:0060485	mesenchyme development	2.4142509960517374e-05	True	"""The process whose specific outcome is the progression of a mesenchymal tissue over time, from its formation to the mature structure. A mesenchymal tissue is made up of loosely packed stellate cells."" [GOC:dph]"	312	21	7	21010	0.3333333333333333	0.022435897435897436	query_1	['GO:0009888', 'GO:0048513']	2
GO:BP	GO:0009888	tissue development	2.679978462801864e-05	True	"""The process whose specific outcome is the progression of a tissue over time, from its formation to the mature structure."" [ISBN:0471245208]"	2004	16	11	21010	0.6875	0.0054890219560878245	query_1	['GO:0048856']	2
GO:BP	GO:0048568	embryonic organ development	3.64944208396572e-05	True	"""Development, taking place during the embryonic phase, of a tissue or tissues that work together to perform a specific function or functions. Development pertains to the process whose specific outcome is the progression of a structure over time, from its formation to the mature structure. Organs are commonly observed as visibly distinct structures, but may also exist as loosely associated clusters of cells that work together to perform a specific function or functions."" [GOC:jid]"	459	16	7	21010	0.4375	0.015250544662309368	query_1	['GO:0009790', 'GO:0048513']	2
GO:BP	GO:0003208	cardiac ventricle morphogenesis	6.104693208488624e-05	True	"""The process in which the cardiac ventricle is generated and organized. A cardiac ventricle receives blood from a cardiac atrium and pumps it out of the heart."" [GOC:mtg_heart]"	70	11	4	21010	0.36363636363636365	0.05714285714285714	query_1	['GO:0003206', 'GO:0003231']	2
GO:BP	GO:0048513	animal organ development	9.294102515457144e-05	True	"""Development of a tissue or tissues that work together to perform a specific function or functions. Development pertains to the process whose specific outcome is the progression of a structure over time, from its formation to the mature structure. Organs are commonly observed as visibly distinct structures, but may also exist as loosely associated clusters of cells that work together to perform a specific function or functions."" [GOC:dph, GOC:jid]"	3068	18	13	21010	0.7222222222222222	0.00423728813559322	query_1	['GO:0048856']	2
GO:BP	GO:0003215	cardiac right ventricle morphogenesis	0.00012489693644578134	True	"""The process in which the right cardiac ventricle is generated and organized."" [GOC:mtg_heart]"	19	10	3	21010	0.3	0.15789473684210525	query_1	['GO:0003208']	2
GO:BP	GO:0009887	animal organ morphogenesis	0.0001449147750443884	True	"""Morphogenesis of an animal organ. An organ is defined as a tissue or set of tissues that work together to perform a specific function or functions. Morphogenesis is the process in which anatomical structures are generated and organized. Organs are commonly observed as visibly distinct structures, but may also exist as loosely associated clusters of cells that work together to perform a specific function or functions."" [GOC:dgh, GOC:go_curators, ISBN:0471245208, ISBN:0721662544]"	1050	14	8	21010	0.5714285714285714	0.007619047619047619	query_1	['GO:0009653', 'GO:0048513']	2
GO:CC	GO:0043034	costamere	0.0001461677374787515	True	"""Regular periodic sub membranous arrays of vinculin in skeletal and cardiac muscle cells, these arrays link Z-discs to the sarcolemma and are associated with links to extracellular matrix."" [GOC:jl, GOC:mtg_muscle, ISBN:0198506732, PMID:6405378]"	18	22	3	22090	0.13636363636363635	0.16666666666666666	query_1	['GO:0030016', 'GO:0110165']	2
GO:BP	GO:0060411	cardiac septum morphogenesis	0.00018378357531051122	True	"""The process in which the anatomical structure of a cardiac septum is generated and organized. A cardiac septum is a partition that separates parts of the heart."" [GOC:dph, GOC:mtg_heart]"	70	14	4	21010	0.2857142857142857	0.05714285714285714	query_1	['GO:0003206', 'GO:0003279', 'GO:0009653']	2
GO:BP	GO:0034505	tooth mineralization	0.00018643786040263777	True	"""The process in which calcium salts are deposited into calcareous tooth structures such as dental enamel, dentin and cementum."" [GOC:mah, MP:0002817, MSH:D014074]"	32	7	3	21010	0.42857142857142855	0.09375	query_1	['GO:0031214', 'GO:0042476']	2
GO:BP	GO:0007507	heart development	0.00021290652515616095	True	"""The process whose specific outcome is the progression of the heart over time, from its formation to the mature structure. The heart is a hollow, muscular organ, which, by contracting rhythmically, keeps up the circulation of the blood."" [GOC:jid, UBERON:0000948]"	594	16	7	21010	0.4375	0.011784511784511785	query_1	['GO:0048513', 'GO:0072359']	2
GO:BP	GO:0048598	embryonic morphogenesis	0.0002696758763466633	True	"""The process in which anatomical structures are generated and organized during the embryonic phase. The embryonic phase begins with zygote formation. The end of the embryonic phase is organism-specific. For example, it would be at birth for mammals, larval hatching for insects and seed dormancy in plants."" [GOC:jid, GOC:mtg_sensu]"	615	16	7	21010	0.4375	0.011382113821138212	query_1	['GO:0009653', 'GO:0009790']	2
GO:BP	GO:0061061	muscle structure development	0.0003007329038056784	True	"""The progression of a muscle structure over time, from its formation to its mature state. Muscle structures are contractile cells, tissues or organs that are found in multicellular organisms."" [GOC:dph]"	669	29	9	21010	0.3103448275862069	0.013452914798206279	query_1	['GO:0048856']	2
GO:BP	GO:0051101	regulation of DNA binding	0.0003335241348634538	True	"""Any process that modulates the frequency, rate or extent of DNA binding. DNA binding is any process in which a gene product interacts selectively with DNA (deoxyribonucleic acid)."" [GOC:ai, GOC:dph, GOC:tb]"	119	10	4	21010	0.4	0.03361344537815126	query_1	['GO:0051098']	2
GO:BP	GO:0060706	cell differentiation involved in embryonic placenta development	0.000334534714248069	True	"""The process in which a relatively unspecialized cell acquires specialized features of the embryonic placenta."" [GOC:dph]"	26	10	3	21010	0.3	0.11538461538461539	query_1	['GO:0001892', 'GO:0003006', 'GO:0030154']	2
GO:BP	GO:0048738	cardiac muscle tissue development	0.00043422128342125753	True	"""The process whose specific outcome is the progression of cardiac muscle over time, from its formation to the mature structure."" [GOC:dph, GOC:jid, GOC:lm]"	227	14	5	21010	0.35714285714285715	0.022026431718061675	query_1	['GO:0007507', 'GO:0014706']	2
GO:BP	GO:0042476	odontogenesis	0.0005215549409383095	True	"""The process whose specific outcome is the progression of a tooth or teeth over time, from formation to the mature structure(s). A tooth is any hard bony, calcareous, or chitinous organ found in the mouth or pharynx of an animal and used in procuring or masticating food."" [GOC:jl, GOC:mah]"	133	10	4	21010	0.4	0.03007518796992481	query_1	['GO:0009887']	2
GO:BP	GO:0001701	in utero embryonic development	0.0005364693059035908	True	"""The process whose specific outcome is the progression of the embryo in the uterus over time, from formation of the zygote in the oviduct, to birth. An example of this process is found in Mus musculus."" [GOC:go_curators, GOC:mtg_sensu]"	402	16	6	21010	0.375	0.014925373134328358	query_1	['GO:0043009']	2
GO:MF	GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	0.0005527244922047302	True	"""A DNA-binding transcription factor activity that represses or decreases the transcription of specific gene sets transcribed by RNA polymerase II."" [GOC:txnOH-2018]"	308	14	5	20139	0.35714285714285715	0.016233766233766232	query_1	['GO:0000981', 'GO:0001217']	2
GO:MF	GO:0001217	DNA-binding transcription repressor activity	0.0006172776486164269	True	"""A DNA-binding transcription factor activity that represses or decreases the transcription of specific gene sets."" [GOC:txnOH-2018]"	315	14	5	20139	0.35714285714285715	0.015873015873015872	query_1	['GO:0003700']	2
GO:BP	GO:0014706	striated muscle tissue development	0.0006211921203946356	True	"""The process whose specific outcome is the progression of a striated muscle over time, from its formation to the mature structure. Striated muscle contain fibers that are divided by transverse bands into striations, and cardiac and skeletal muscle are types of striated muscle. Skeletal muscle myoblasts fuse to form myotubes and eventually multinucleated muscle fibers. The fusion of cardiac cells is very rare and can only form binucleate cells."" [CL:0000737, GOC:dph, GOC:mtg_muscle]"	244	14	5	21010	0.35714285714285715	0.020491803278688523	query_1	['GO:0060537']	2
GO:BP	GO:0055010	ventricular cardiac muscle tissue morphogenesis	0.0008349926492476948	True	"""The process in which the anatomical structures of cardiac ventricle muscle is generated and organized."" [GOC:devbiol]"	47	29	4	21010	0.13793103448275862	0.0851063829787234	query_1	['GO:0003208', 'GO:0003229', 'GO:0055008']	2
GO:BP	GO:0001892	embryonic placenta development	0.0008776902986535247	True	"""The embryonically driven process whose specific outcome is the progression of the placenta over time, from its formation to the mature structure. The placenta is an organ of metabolic interchange between fetus and mother, partly of embryonic origin and partly of maternal origin."" [GOC:add, ISBN:068340007X]"	89	16	4	21010	0.25	0.0449438202247191	query_1	['GO:0001701', 'GO:0001890', 'GO:0048568']	2
GO:BP	GO:0072359	circulatory system development	0.0009233377226043228	True	"""The process whose specific outcome is the progression of the circulatory system over time, from its formation to the mature structure. The circulatory system is the organ system that passes nutrients (such as amino acids and electrolytes), gases, hormones, blood cells, etc. to and from cells in the body to help fight diseases and help stabilize body temperature and pH to maintain homeostasis."" [GOC:mah, UBERON:0001009]"	1119	16	8	21010	0.5	0.0071492403932082215	query_1	['GO:0048731']	2
GO:BP	GO:0007275	multicellular organism development	0.0011894785744572137	True	"""The biological process whose specific outcome is the progression of a multicellular organism over time from an initial condition (e.g. a zygote or a young adult) to a later condition (e.g. a multicellular animal or an aged adult)."" [GOC:dph, GOC:ems, GOC:isa_complete, GOC:tb]"	4610	14	12	21010	0.8571428571428571	0.0026030368763557484	query_1	['GO:0032501', 'GO:0048856']	2
GO:BP	GO:0060429	epithelium development	0.0019314433931362381	True	"""The process whose specific outcome is the progression of an epithelium over time, from its formation to the mature structure. An epithelium is a tissue that covers the internal or external surfaces of an anatomical structure."" [GOC:dph, GOC:mtg_lung]"	1233	16	8	21010	0.5	0.006488240064882401	query_1	['GO:0009888']	2
GO:BP	GO:0000122	negative regulation of transcription by RNA polymerase II	0.0019887636874403457	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"	978	14	7	21010	0.5	0.007157464212678937	query_1	['GO:0006357', 'GO:0006366', 'GO:0045892']	2
GO:BP	GO:0035115	embryonic forelimb morphogenesis	0.002116610536072347	True	"""The process, occurring in the embryo, by which the anatomical structures of the forelimb are generated and organized. The forelimbs are the front limbs of an animal, e.g. the arms of a human."" [ISBN:0198612001]"	33	14	3	21010	0.21428571428571427	0.09090909090909091	query_1	['GO:0030326', 'GO:0035136']	2
GO:CC	GO:0016327	apicolateral plasma membrane	0.002183606484424761	True	"""The apical end of the lateral plasma membrane of epithelial cells."" [GOC:hb]"	23	5	2	22090	0.4	0.08695652173913043	query_1	['GO:0098590']	2
GO:BP	GO:0055008	cardiac muscle tissue morphogenesis	0.0022547062807541933	True	"""The process in which the anatomical structures of cardiac muscle tissue are generated and organized."" [GOC:devbiol]"	60	29	4	21010	0.13793103448275862	0.06666666666666667	query_1	['GO:0003007', 'GO:0048738', 'GO:0060415']	2
GO:BP	GO:0021559	trigeminal nerve development	0.0024906525241541297	True	"""The process whose specific outcome is the progression of the trigeminal nerve over time, from its formation to the mature structure. The trigeminal nerve is composed of three large branches. They are the ophthalmic (V1, sensory), maxillary (V2, sensory) and mandibular (V3, motor and sensory) branches. The sensory ophthalmic branch travels through the superior orbital fissure and passes through the orbit to reach the skin of the forehead and top of the head. The maxillary nerve contains sensory branches that reach the pterygopalatine fossa via the inferior orbital fissure (face, cheek and upper teeth) and pterygopalatine canal (soft and hard palate, nasal cavity and pharynx). The motor part of the mandibular branch is distributed to the muscles of mastication, the mylohyoid muscle and the anterior belly of the digastric. The mandibular nerve also innervates the tensor veli palatini and tensor tympani muscles. The sensory part of the mandibular nerve is composed of branches that carry general sensory information from the mucous membranes of the mouth and cheek, anterior two-thirds of the tongue, lower teeth, skin of the lower jaw, side of the head and scalp and meninges of the anterior and middle cranial fossae."" [GO_REF:0000021, GOC:cls, GOC:dgh, GOC:dph, GOC:jid, ISBN:0838580343]"	11	4	2	21010	0.5	0.18181818181818182	query_1	['GO:0021545']	2
GO:CC	GO:0030016	myofibril	0.0027108775630904436	True	"""The contractile element of skeletal and cardiac muscle; a long, highly organized bundle of actin, myosin, and other proteins that contracts by a sliding filament mechanism."" [ISBN:0815316194]"	236	29	5	22090	0.1724137931034483	0.0211864406779661	query_1	['GO:0043292']	2
GO:BP	GO:0035239	tube morphogenesis	0.002735444157109568	True	"""The process in which the anatomical structures of a tube are generated and organized. Epithelial and endothelial tubes transport gases, liquids and cells from one site to another and form the basic structure of many organs and tissues, with tube shape and organization varying from the single-celled excretory organ in Caenorhabditis elegans to the branching trees of the mammalian kidney and insect tracheal system."" [GOC:bf, PMID:14624839]"	867	16	7	21010	0.4375	0.008073817762399077	query_1	['GO:0009653', 'GO:0035295']	2
GO:BP	GO:0003161	cardiac conduction system development	0.0027666411942446904	True	"""The process whose specific outcome is the progression of the cardiac conduction system over time, from its formation to the mature structure. The cardiac conduction system consists of specialized cardiomyocytes that regulate the frequency of heart beat."" [GOC:mtg_heart]"	36	14	3	21010	0.21428571428571427	0.08333333333333333	query_1	['GO:0048738']	2
GO:BP	GO:2000677	regulation of transcription regulatory region DNA binding	0.00282511184586826	True	"""Any process that modulates the frequency, rate or extent of transcription regulatory region DNA binding."" [GOC:obol]"	52	10	3	21010	0.3	0.057692307692307696	query_1	['GO:0051101']	2
GO:CC	GO:0043292	contractile fiber	0.0032472338839411477	True	"""Fibers, composed of actin, myosin, and associated proteins, found in cells of smooth or striated muscle."" [GOC:go_curators, ISBN:0815316194]"	245	29	5	22090	0.1724137931034483	0.02040816326530612	query_1	['GO:0005737', 'GO:0043232', 'GO:0099512']	2
GO:BP	GO:0035136	forelimb morphogenesis	0.004122479622391529	True	"""The process in which the anatomical structures of the forelimb are generated and organized. The forelimbs are the front limbs of an animal, e.g. the arms of a human."" [GOC:go_curators]"	41	14	3	21010	0.21428571428571427	0.07317073170731707	query_1	['GO:0035108']	2
GO:BP	GO:0003203	endocardial cushion morphogenesis	0.004122479622391529	True	"""The process in which the anatomical structure of the endocardial cushion is generated and organized. The endocardial cushion is a specialized region of mesenchymal cells that will give rise to the heart septa and valves."" [GOC:mtg_heart]"	41	14	3	21010	0.21428571428571427	0.07317073170731707	query_1	['GO:0003007', 'GO:0003197', 'GO:0072132']	2
GO:MF	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	0.0043512049940735795	True	"""A DNA-binding transcription factor activity that activates or increases transcription of specific gene sets transcribed by RNA polymerase II."" [GOC:aruk, GOC:txnOH-2018, PMID:20737563, PMID:27145859]"	470	14	5	20139	0.35714285714285715	0.010638297872340425	query_1	['GO:0000981', 'GO:0001216']	2
GO:BP	GO:0060415	muscle tissue morphogenesis	0.004445777858130095	True	"""The process in which the anatomical structures of muscle tissue are generated and organized. Muscle tissue consists of a set of cells that are part of an organ and carry out a contractive function."" [GOC:dph]"	71	29	4	21010	0.13793103448275862	0.056338028169014086	query_1	['GO:0048644', 'GO:0048729']	2
GO:BP	GO:0007498	mesoderm development	0.004521676135817835	True	"""The process whose specific outcome is the progression of the mesoderm over time, from its formation to the mature structure. The mesoderm is the middle germ layer that develops into muscle, bone, cartilage, blood and connective tissue."" [GOC:dph, GOC:tb]"	134	16	4	21010	0.25	0.029850746268656716	query_1	['GO:0009888']	2
GO:MF	GO:0001216	DNA-binding transcription activator activity	0.00453349916224372	True	"""A DNA-binding transcription factor activity that activates or increases transcription of specific gene sets."" [GOC:txnOH-2018]"	474	14	5	20139	0.35714285714285715	0.010548523206751054	query_1	['GO:0003700']	2
KEGG	KEGG:04550	Signaling pathways regulating pluripotency of stem cells	0.0048426268945547446	True	Signaling pathways regulating pluripotency of stem cells	143	14	4	8161	0.2857142857142857	0.027972027972027972	query_1	['KEGG:00000']	2
GO:BP	GO:0031214	biomineral tissue development	0.005108931082826248	True	"""Formation of hard tissues that consist mainly of inorganic compounds, and also contain a small amounts of organic matrices that are believed to play important roles in their formation."" [PMID:15132736]"	174	13	4	21010	0.3076923076923077	0.022988505747126436	query_1	['GO:0009888', 'GO:0048513']	2
GO:BP	GO:0048762	mesenchymal cell differentiation	0.006027011049265879	True	"""The process in which a relatively unspecialized cell acquires specialized features of a mesenchymal cell. A mesenchymal cell is a loosely associated cell that is part of the connective tissue in an organism. Mesenchymal cells give rise to more mature connective tissue cell types."" [GOC:dph, GOC:jid]"	245	21	5	21010	0.23809523809523808	0.02040816326530612	query_1	['GO:0030154', 'GO:0060485']	2
GO:BP	GO:0048644	muscle organ morphogenesis	0.006483325144937031	True	"""The process in which the anatomical structures of muscle are generated and organized."" [GOC:jid]"	78	29	4	21010	0.13793103448275862	0.05128205128205128	query_1	['GO:0007517', 'GO:0009887']	2
